Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,94.803,-72.482,0,top
C2,0.1u,C_0603_1608Metric,94.703,-82.682,0,top
C3,0.1u,C_0603_1608Metric,94.753,-93.382,0,top
C4,0.1u,C_0603_1608Metric,94.753,-105.382,0,top
J1,signals,PinSocket_1x07_P2.54mm_Vertical,88.925,-77.343,0,top
J2,output,PinSocket_2x08_P2.54mm_Vertical,150.515,-75.58,0,top
J3,source,PinSocket_1x02_P2.54mm_Vertical,88.925,-96.794,0,top
R1,470,R_0603_1608Metric,99.903,-72.432,0,top
R2,470,R_0603_1608Metric,104.053,-73.809952,0,top
R3,470,R_0603_1608Metric,104.053,-72.17196,0,top
R4,470,R_0603_1608Metric,104.053,-70.533968,0,top
R5,470,R_0603_1608Metric,104.053,-68.895976,0,top
R6,470,R_0603_1608Metric,104.053,-67.257984,0,top
R7,470,R_0603_1608Metric,104.053,-65.619992,0,top
R8,470,R_0603_1608Metric,104.053,-63.982,0,top
R9,470,R_0603_1608Metric,99.658,-82.732,0,top
R10,470,R_0603_1608Metric,104.053,-85.275896,0,top
R11,470,R_0603_1608Metric,104.053,-83.637904,0,top
R12,470,R_0603_1608Metric,104.053,-81.999912,0,top
R13,470,R_0603_1608Metric,104.053,-80.36192,0,top
R14,470,R_0603_1608Metric,104.053,-78.723928,0,top
R15,470,R_0603_1608Metric,104.053,-77.085936,0,top
R16,470,R_0603_1608Metric,104.053,-75.447944,0,top
R17,470,R_0603_1608Metric,99.828,-105.682,0,top
R18,470,R_0603_1608Metric,99.728,-93.532,0,top
R19,470,R_0603_1608Metric,104.053,-108.20779,0,top
R20,470,R_0603_1608Metric,104.053,-96.74184,0,top
R21,470,R_0603_1608Metric,104.053,-106.569792,0,top
R22,470,R_0603_1608Metric,104.053,-104.9318,0,top
R23,470,R_0603_1608Metric,104.053,-95.103848,0,top
R24,470,R_0603_1608Metric,104.053,-93.465856,0,top
R25,470,R_0603_1608Metric,104.053,-103.293808,0,top
R26,470,R_0603_1608Metric,104.053,-101.655816,0,top
R27,470,R_0603_1608Metric,104.053,-91.827864,0,top
R28,470,R_0603_1608Metric,104.053,-90.189872,0,top
R29,470,R_0603_1608Metric,104.053,-100.017824,0,top
R30,470,R_0603_1608Metric,104.053,-98.379832,0,top
R31,470,R_0603_1608Metric,104.053,-88.55188,0,top
R32,470,R_0603_1608Metric,104.053,-86.913888,0,top
U1,74HC595,TSSOP-16_4.4x5mm_P0.65mm,97.155,-68.58,180,top
U2,TLP176GA,TLP176GA,111.506,-72.136,0,top
U3,TLP176GA,TLP176GA,120.777,-72.136,180,top
U4,TLP176GA,TLP176GA,129.667,-72.136,0,top
U5,TLP176GA,TLP176GA,138.811,-72.136,180,top
U6,TLP176GA,TLP176GA,111.506,-67.183,0,top
U7,TLP176GA,TLP176GA,120.777,-67.183,180,top
U8,TLP176GA,TLP176GA,129.667,-67.183,0,top
U9,TLP176GA,TLP176GA,138.811,-67.183,180,top
U10,74HC595,TSSOP-16_4.4x5mm_P0.65mm,97.155,-78.867,180,top
U11,TLP176GA,TLP176GA,111.506,-82.423,0,top
U12,TLP176GA,TLP176GA,120.777,-82.423,180,top
U13,TLP176GA,TLP176GA,129.667,-82.423,0,top
U14,TLP176GA,TLP176GA,138.811,-82.423,180,top
U15,TLP176GA,TLP176GA,111.506,-77.343,0,top
U16,TLP176GA,TLP176GA,120.777,-77.343,180,top
U17,TLP176GA,TLP176GA,129.667,-77.343,0,top
U18,TLP176GA,TLP176GA,138.811,-77.343,180,top
U19,74HC595,TSSOP-16_4.4x5mm_P0.65mm,97.155,-89.535,180,top
U20,74HC595,TSSOP-16_4.4x5mm_P0.65mm,97.155,-101.727,180,top
U21,TLP176GA,TLP176GA,111.506,-102.997,0,top
U22,TLP176GA,TLP176GA,120.777,-102.997,180,top
U23,TLP176GA,TLP176GA,111.506,-92.964,0,top
U24,TLP176GA,TLP176GA,120.777,-92.964,180,top
U25,TLP176GA,TLP176GA,129.667,-102.997,0,top
U26,TLP176GA,TLP176GA,138.811,-102.997,180,top
U27,TLP176GA,TLP176GA,129.667,-92.964,0,top
U28,TLP176GA,TLP176GA,138.811,-92.964,180,top
U29,TLP176GA,TLP176GA,111.506,-98.044,0,top
U30,TLP176GA,TLP176GA,120.777,-98.044,180,top
U31,TLP176GA,TLP176GA,111.506,-87.63,0,top
U32,TLP176GA,TLP176GA,120.777,-87.63,180,top
U33,TLP176GA,TLP176GA,129.667,-98.044,0,top
U34,TLP176GA,TLP176GA,138.811,-98.044,180,top
U35,TLP176GA,TLP176GA,129.667,-87.63,0,top
U36,TLP176GA,TLP176GA,138.811,-87.63,180,top
